Area,Category,Item,Description,Date,Orders,Type of Order
Neo Tokyo,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,12-02-2022,94,Online
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,16-03-2022,180,Takeaway
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,15-09-2022,85,Online
Neo Tokyo,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",22-02-2022,93,Takeaway
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",26-01-2022,6,Takeaway
Cyber City,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",16-08-2023,116,Dining
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,15-11-2021,157,Takeaway
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,08-04-2023,77,Online
Elysium District,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,04-07-2022,153,Takeaway
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,22-12-2022,35,Dining
Cyber City,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,10-01-2022,16,Online
Arcadia Bay,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,28-08-2023,140,Online
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,19-11-2021,172,Online
Mystic Falls,Sides,Power-Up Fries,Seasoned fries with power-up dips.,11-08-2023,159,Online
Neo Tokyo,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,19-12-2022,22,Online
Elysium District,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,21-02-2022,197,Online
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,28-02-2023,146,Takeaway
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,17-04-2022,162,Takeaway
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,17-12-2021,80,Takeaway
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,07-09-2023,90,Online
Neo Tokyo,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",02-08-2023,15,Online
Mystic Falls,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",01-09-2022,142,Takeaway
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,06-11-2021,63,Online
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,23-07-2022,71,Takeaway
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,07-02-2022,78,Dining
Cyber City,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",01-02-2023,55,Dining
Mystic Falls,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",29-03-2022,27,Dining
Mystic Falls,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,25-09-2022,186,Online
Neo Tokyo,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",30-01-2023,41,Takeaway
Elysium District,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,28-02-2023,126,Takeaway
Mystic Falls,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",02-09-2022,17,Dining
Mystic Falls,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,25-09-2022,8,Online
Neo Tokyo,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,26-01-2023,198,Dining
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,13-06-2022,145,Takeaway
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,25-02-2023,133,Online
Arcadia Bay,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,01-01-2023,61,Dining
Mystic Falls,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,21-08-2022,73,Online
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,08-05-2022,108,Takeaway
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,08-04-2022,8,Dining
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,11-04-2023,152,Takeaway
Cyber City,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",17-03-2022,193,Online
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,30-05-2023,72,Dining
Arcadia Bay,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,29-03-2023,21,Takeaway
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,12-08-2023,18,Online
Neo Tokyo,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,11-08-2022,70,Dining
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,24-01-2022,82,Takeaway
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,16-08-2023,95,Online
Neo Tokyo,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",26-01-2023,198,Dining
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",28-06-2022,162,Takeaway
Arcadia Bay,Sides,Power-Up Fries,Seasoned fries with power-up dips.,02-03-2023,9,Dining
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,20-09-2023,96,Dining
Elysium District,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,13-01-2023,31,Online
Arcadia Bay,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",22-02-2023,194,Dining
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,24-06-2022,34,Online
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",04-03-2022,106,Online
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,25-05-2022,170,Takeaway
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,07-05-2022,41,Dining
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,27-04-2023,133,Dining
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,29-04-2023,166,Online
Cyber City,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",18-12-2021,191,Dining
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,06-03-2022,135,Takeaway
Cyber City,Sides,Power-Up Fries,Seasoned fries with power-up dips.,16-04-2023,172,Dining
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",07-09-2022,70,Takeaway
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,18-07-2022,38,Takeaway
Mystic Falls,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",02-09-2023,46,Takeaway
Cyber City,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",11-11-2022,164,Takeaway
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,12-11-2022,41,Dining
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",12-08-2022,131,Online
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,10-06-2023,80,Online
Elysium District,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",21-11-2021,123,Online
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,28-07-2022,16,Takeaway
Neo Tokyo,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,10-12-2021,161,Dining
Elysium District,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,11-06-2023,68,Online
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",25-01-2022,68,Takeaway
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,20-06-2022,107,Takeaway
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,10-05-2023,143,Takeaway
Cyber City,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,12-05-2023,73,Dining
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,06-05-2023,189,Dining
Neo Tokyo,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",04-08-2022,29,Takeaway
Cyber City,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",11-01-2022,57,Takeaway
Neo Tokyo,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,18-08-2022,59,Online
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,10-03-2022,61,Dining
Mystic Falls,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,15-04-2022,47,Takeaway
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,19-08-2023,116,Dining
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,23-08-2023,166,Takeaway
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,13-08-2022,162,Online
Elysium District,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",14-07-2022,145,Dining
Elysium District,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,17-01-2023,195,Dining
Mystic Falls,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,11-07-2023,182,Dining
Cyber City,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,10-09-2023,129,Dining
Mystic Falls,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,22-10-2022,186,Takeaway
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,02-01-2023,195,Dining
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,28-08-2022,100,Online
Neo Tokyo,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,29-12-2022,152,Online
Mystic Falls,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",14-06-2022,104,Dining
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,11-12-2021,13,Dining
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,26-10-2022,126,Online
Elysium District,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,25-03-2023,27,Online
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,27-09-2022,113,Dining
Mystic Falls,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,17-04-2023,84,Takeaway
Cyber City,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,23-11-2021,43,Takeaway
Elysium District,Sides,Power-Up Fries,Seasoned fries with power-up dips.,04-06-2023,132,Online
Elysium District,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,25-01-2023,151,Dining
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",19-09-2023,11,Takeaway
Cyber City,Sides,Power-Up Fries,Seasoned fries with power-up dips.,15-11-2021,195,Online
Elysium District,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",29-10-2023,83,Dining
Neo Tokyo,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,11-09-2022,51,Takeaway
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",14-04-2023,71,Takeaway
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,03-05-2022,35,Dining
Mystic Falls,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",11-02-2022,46,Dining
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,23-08-2023,87,Dining
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",17-02-2023,26,Online
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",16-08-2023,43,Online
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",21-08-2023,66,Online
Arcadia Bay,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",24-09-2023,97,Dining
Arcadia Bay,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,25-01-2023,6,Dining
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,03-01-2022,75,Dining
Cyber City,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",27-04-2022,138,Takeaway
Elysium District,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",07-03-2023,180,Online
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,21-06-2022,85,Dining
Neo Tokyo,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,20-10-2022,152,Online
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,29-10-2023,107,Dining
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,06-08-2022,63,Takeaway
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",03-06-2022,65,Dining
Cyber City,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",20-09-2022,29,Takeaway
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,26-05-2023,37,Online
Arcadia Bay,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",24-09-2023,141,Takeaway
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,23-04-2022,169,Dining
Cyber City,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,14-12-2021,94,Online
Mystic Falls,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,25-07-2023,30,Online
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",20-07-2023,8,Dining
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,16-04-2022,139,Takeaway
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,11-04-2023,21,Takeaway
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,21-07-2023,17,Online
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",22-06-2022,10,Dining
Arcadia Bay,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,17-04-2023,83,Takeaway
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",10-01-2022,47,Takeaway
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,29-05-2023,39,Online
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,02-11-2021,157,Online
Elysium District,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,17-07-2023,128,Takeaway
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,31-05-2023,157,Dining
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,09-07-2022,51,Dining
Neo Tokyo,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,28-09-2022,61,Takeaway
Neo Tokyo,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,02-05-2022,179,Takeaway
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,07-08-2023,114,Online
Cyber City,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",08-12-2022,178,Online
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,12-05-2023,118,Online
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,07-10-2023,118,Dining
Arcadia Bay,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,09-04-2023,18,Dining
Elysium District,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,17-01-2022,174,Dining
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,31-08-2023,71,Dining
Arcadia Bay,Sides,Power-Up Fries,Seasoned fries with power-up dips.,03-08-2022,104,Takeaway
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",20-04-2023,39,Dining
